2023.11.10 13:04:00 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist issues | inserts=0 | updates=20173 | merged=0 | untouched=11809 | status=SUCCESS | time=29188ms
2023.11.10 13:04:00 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist project links | status=SUCCESS | time=3ms
2023.11.10 13:04:00 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist events | status=SUCCESS | time=4ms
2023.11.10 13:04:03 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist sources | status=SUCCESS | time=2785ms
2023.11.10 13:04:03 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Persist cross project duplications | status=SUCCESS | time=0ms
2023.11.10 13:04:03 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Enable analysis | status=SUCCESS | time=49ms
2023.11.10 13:04:03 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Update last usage date of quality profiles | status=SUCCESS | time=6ms
2023.11.10 13:04:03 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Purge db | status=SUCCESS | time=480ms
2023.11.10 13:04:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Index analysis | status=SUCCESS | time=5424ms
2023.11.10 13:04:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Send issue notifications | newIssuesNotifs=0 | newIssuesDeliveries=0 | myNewIssuesNotifs=0 | myNewIssuesDeliveries=0 | changesNotifs=0 | changesDeliveries=0 | status=SUCCESS | time=1ms
2023.11.10 13:04:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Publish task results | status=SUCCESS | time=0ms
2023.11.10 13:04:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.s.ComputationStepExecutor] Trigger refresh of Portfolios and Applications | status=SUCCESS | time=0ms
2023.11.10 13:04:09 INFO  ce[AYu5VDMRoHkafef8rVWx][o.s.c.t.CeWorkerImpl] Executed task | project=VGF | type=REPORT | id=AYu5VDMRoHkafef8rVWx | status=SUCCESS | time=63135ms
